Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,class_label,subtype
6,96434,3,2,464.0,0.0,236.0,0.0,154.66666666666666,134.00497503202385,0.0,0.0,0.0,0.0,4811.58097766348,51.84893294895991,24108.5,27763.55646646637,51184.0,68.0,45182.0,22591.0,31572.31777997935,44916.0,266.0,51184.0,51184.0,0.0,51184.0,51184.0,0,60,64,31.109359769375946,20.739573179583964,0.0,236.0,77.33333333333334,119.83099209581246,14359.466666666667,0,1,0,0,0.0,92.8,154.66666666666666,0.0,3,464,2,0,65535,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,690,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2898.550724637681,690.0,0.0,690.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,20,1449.2753623188407,1449.2753623188407,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,0.0,0.0,0.0,1,0,1,0,2082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,15248947,5,4,546.0,218.0,313.0,0.0,109.2,152.1798278353606,113.0,0.0,54.5,63.0158710167526,50.10182014535168,0.5902046875761323,1906118.375,5311674.244493805,15051707.0,106.0,15201263.0,3800315.75,7501036.264888266,15051707.0,157.0,145318.0,48439.333333333336,893.5800654296925,49362.0,47578.0,0,100,104,0.3278914930978513,0.262313194478281,0.0,313.0,76.39999999999999,114.34956153052018,13075.82222222222,0,1,0,0,0.0,84.88888888888889,109.2,54.5,5,546,4,218,2115,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,25067215,24,44,1398.0,45787.0,345.0,0.0,58.25000000000001,113.25010797576196,1240.0,0.0,1040.613636363636,421.119505543569,1882.3391429801836,2.712706616989562,374137.5373134329,1770229.780611574,10007821.0,0.0,25019069.0,1087785.608695652,2938219.350553568,10007821.0,577.0,20169052.0,469047.7209302327,2103859.591943141,10103803.0,0.0,0,480,904,0.9574258648198454,1.7552807521697165,0.0,1240.0,683.8405797101449,586.3856295684308,343848.10656436486,0,1,0,0,1.0,693.8970588235294,58.25,1040.6136363636365,24,1398,44,45787,2216,6,236190.0,16065.46606855836,247550.0,224830.0,9800369.0,293381.43194142333,10007821.0,9592917.0,LEGIT,none
6,26259694,105,238,2082.0,286435.0,505.0,0.0,19.828571428571436,85.82332670430229,1240.0,0.0,1203.508403361345,194.94473395343132,10987.06633824446,13.06184299024962,76782.73099415204,788039.1174275872,9988931.0,0.0,26211453.0,252033.2019230769,1422357.0015087556,9988931.0,137.0,21302771.0,89885.10970464138,901738.681700189,10110675.0,0.0,0,2100,4784,3.998523364362129,9.063319625887493,0.0,1240.0,838.7122093023249,572.8511030999257,328158.38632280164,0,1,0,0,2.0,841.1574344023323,19.82857142857143,1203.5084033613446,105,2082,238,286435,2249,6,906865.5,660748.1535051763,1374085.0,439646.0,9683739.0,431606.6655277696,9988931.0,9378547.0,LEGIT,none
6,26260050,122,319,2183.0,386787.0,556.0,0.0,17.893442622950825,75.02162854826514,1240.0,0.0,1212.498432601881,167.89630437473227,14812.233792395671,16.793570461594705,59681.9318181818,692925.5306191144,9995904.0,0.0,26211125.0,216620.867768595,1316420.895440322,9995904.0,60.0,21373921.0,67213.58805031444,776091.5066929404,10127116.0,0.0,0,2440,6404,4.645840354454771,12.147730107139934,0.0,1240.0,880.0226244343896,556.0642097659817,309207.4053826657,0,1,0,0,2.0,882.0181405895692,17.89344262295082,1212.498432601881,122,2183,319,386787,2290,8,934708.0,723510.244296513,1446307.0,423109.0,9686662.0,437334.23045538063,9995904.0,9377420.0,LEGIT,none
6,26260322,61,125,1252.0,146779.0,505.0,0.0,20.524590163934427,85.07596733848658,1240.0,0.0,1174.2320000000004,271.58204772252765,5637.059591272339,7.082929143062298,141947.68648648646,1373071.1386301224,15937354.0,0.0,26211347.0,436855.7833333333,2408094.357890186,16030193.0,139.0,10322968.0,83249.74193548386,890764.5053869091,9921755.0,0.0,0,1220,2524,2.3228961168107536,4.760033026251544,0.0,1240.0,791.6096256684493,590.1323457481772,348256.18549824605,0,1,0,0,2.0,795.8655913978495,20.524590163934427,1174.232,61,1252,125,146779,2182,4,401235.0,0.0,401235.0,401235.0,9828894.0,0.0,9828894.0,9828894.0,LEGIT,none
6,70699,3,8,0.0,4973.0,0.0,0.0,0.0,0.0,1220.0,0.0,621.625,640.4136916310982,70340.45743221263,155.58918796588353,7069.9,15900.261098135745,51467.0,0.0,63865.0,31932.5,27625.954834177224,51467.0,12398.0,19137.0,2733.8571428571427,3587.2052458969333,8169.0,0.0,0,60,184,42.43341489978642,113.15577306609713,0.0,1220.0,414.4166666666666,595.5406189235784,354668.62878787884,0,1,0,0,2.0,452.09090909090907,0.0,621.625,3,0,8,4973,166,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,71389,3,8,0.0,4474.0,0.0,0.0,0.0,0.0,1220.0,0.0,559.2499999999999,612.4554211182581,62670.719578646575,154.08536329126338,7138.9,11650.80892232142,28840.0,0.0,52257.0,26128.5,3834.640074374647,28840.0,23417.0,42398.0,6056.857142857143,10426.965289232392,23472.0,0.0,0,60,184,42.02328089761728,112.0620823936461,0.0,1220.0,372.83333333333337,560.822420984386,314521.78787878784,0,1,0,0,2.0,406.7272727272728,0.0,559.25,3,0,8,4474,166,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,165162,10,14,948.0,6075.0,745.0,0.0,94.8,231.17564270004263,1220.0,0.0,433.9285714285714,481.7935185382784,42521.88760126421,145.31187561303446,7180.956521739131,13332.45769977184,43371.0,0.0,155307.0,17256.333333333332,17360.773312269244,44237.0,155.0,127929.0,9840.692307692309,26566.981783110077,96640.0,0.0,0,200,304,60.54661483876436,84.7652607742701,0.0,1220.0,280.92,420.8963569969848,177153.7433333333,0,1,0,0,1.0,292.625,94.8,433.9285714285714,10,948,14,6075,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
